ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Ciao IC-231 Grilled tuna flake in jelly wt scallop & slice bonito 50g,1,0,visible,"												<p>Thức ăn cá ngừ, cá ngừ nướng & sò điệp</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h2>商品の情報</h2></br><p>詳細情報</p></br><table border=""0"" cellpadding=""0"" cellspacing=""0""><tbody><tr>	<td>電池使用</td>	<td>いいえ</td></tr><tr>	<td>電池付属</td>	<td>いいえ</td></tr><tr>	<td>原材料</td>	<td>■原材料：かつお、宗田かつお、ほたて貝柱、かつお節、ほたてエキス、寒天、糖類（オリゴ糖等）、でん粉、植物性油脂、ミネラル類、増粘多糖類、調味料（アミノ酸等）、増粘剤（加工でん粉）、ビタミンE、紅麹色素、緑茶エキス ■成分：粗たんぱく質10.0％以上、粗脂肪0.8％以上、粗繊維0.1％以下、粗灰分1.5％以下、水分87.0％以下</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,20000,Mèo > Thức ăn ướt cho Mèo,,,http://bizweb.dktcdn.net/100/092/797/products/ic-231.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao IC-232 Grilled tuna flake in jelly scallop 50g,1,0,visible,"												<p>Thức ăn cá ngừ nướng & sò điệp</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h1>焼かつお・焼ささみディナー</h1></br><h2>ほたて貝柱入り</h2></br><p>焼かつおをフレークし、ほたて貝柱と人気素材をトッピングしました。風味豊かなほたてだしを加えています。</p></br><p> </p></br><ul><li><img alt=""焼かつお・焼ささみディナー ほたて貝柱入り"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1083.jpg"" /></li><li><img alt=""焼かつお・焼ささみディナー ほたて貝柱入り"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1083.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>かつお、宗田かつお、ほたて貝柱、ほたてエキス、寒天、糖類（オリゴ糖等）、でん粉、植物性油脂、ミネラル類、増粘多糖類、調味料（アミノ酸等）、増粘剤（加工でん粉）、ビタミンE、紅麹色素、緑茶エキス</td></tr><tr>	<th>形状Type</th>	<td>ゼリー</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>""粗たん白質10.0%以上､粗脂肪0.8%以上､粗繊維0.1%以下､粗灰分1.5%以下､水分87.0%以下,約30kcal/袋""</td></tr><tr>	<th>内容量Content</th>	<td>50ｇ</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133618680</td></tr><tr>	<th>背番号CODE Number</th>	<td>IC-232</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,20000,Mèo > Thức ăn ướt cho Mèo,,,http://bizweb.dktcdn.net/100/092/797/products/ic-232.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao IC-233 grilled tuna flake in jelly with whitebait & scallop 50g,1,0,visible,"												<p>Thức ăn cá ngừ, cá ngừ nướng & sò điệp</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h1>焼かつお・焼ささみディナー</h1></br><h2>しらす・ほたて貝柱入り</h2></br><p>焼かつおをフレークし、ほたて貝柱と人気素材をトッピングしました。風味豊かなほたてだしを加えています。</p></br><p>しらす入り</p></br><ul><li><img alt=""焼かつお・焼ささみディナー しらす・ほたて貝柱入り"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1084.jpg"" /></li><li><img alt=""焼かつお・焼ささみディナー しらす・ほたて貝柱入り"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1084.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>かつお、宗田かつお、ほたて貝柱、しらす、ほたてエキス、寒天、糖類（オリゴ糖等）、でん粉、植物性油脂、ミネラル類、増粘多糖類、調味料（アミノ酸等）、増粘剤（加工でん粉）、ビタミンE、紅麹色素、緑茶エキス</td></tr><tr>	<th>形状Type</th>	<td>ゼリー</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>""粗たん白質10.0%以上､粗脂肪0.8%以上､粗繊維0.1%以下､粗灰分1.5%以下､水分87.0%以下,約30kcal/袋""</td></tr><tr>	<th>内容量Content</th>	<td>50g</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133618697</td></tr><tr>	<th>背番号CODE Number</th>	<td>IC-233</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,20000,Mèo > Thức ăn ướt cho Mèo,,,http://bizweb.dktcdn.net/100/092/797/products/ic-233.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao IC-235 (Kitten) grilled tuna flake in jelly with sliced bonito & scallop 50g,1,0,visible,"												<p>Thức ăn cá ngừ & sò điệp đóng gói cho mèo con</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h1>焼かつお・焼ささみディナー</h1></br><h2>子ねこ用　かつお節・ほたて貝柱入り</h2></br><p>焼かつおをフレークし、ほたて貝柱と人気素材をトッピングしました。風味豊かなほたてだしを加えています。</p></br><p>タウリン・オリゴ糖配合。</p></br><ul><li><img alt=""焼かつお・焼ささみディナー 子ねこ用　かつお節・ほたて貝柱入り"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1086.jpg"" /></li><li><img alt=""焼かつお・焼ささみディナー 子ねこ用　かつお節・ほたて貝柱入り"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1086.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>かつお、宗田かつお、ほたて貝柱、かつお節、ほたてエキス、寒天、糖類（オリゴ糖等）、でん粉、植物性油脂、ミネラル類、増粘多糖類、ビタミン類、調味料（アミノ酸等）、増粘剤（加工でん粉）、紅麹色素、緑茶エキス、タウリン</td></tr><tr>	<th>形状Type</th>	<td>ゼリー</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>""粗たん白質10.0%以上､粗脂肪0.8%以上､粗繊維0.1%以下､粗灰分1.5%以下､水分87.0%以下,約30kcal/袋""</td></tr><tr>	<th>内容量Content</th>	<td>50g</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133618710</td></tr><tr>	<th>背番号CODE Number</th>	<td>IC-235</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,20000,Mèo > Thức ăn ướt cho Mèo,,,http://bizweb.dktcdn.net/100/092/797/products/ic-235.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao IC-236 grilled tuna flake topping scallop Japanese 50g,1,0,visible,"												<p>Thức ăn cá ngừ & sò điệp đóng gói dành cho mèo</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h1>焼かつお・焼ささみディナー</h1></br><h2>ほたて貝柱入り　本格だし味</h2></br><p>焼かつおをフレークし、ほたて貝柱と人気素材をトッピングしました。風味豊かなほたてだしを加えています。</p></br><p> </p></br><ul><li><img alt=""焼かつお・焼ささみディナー ほたて貝柱入り　本格だし味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1549.jpg"" /></li><li><img alt=""焼かつお・焼ささみディナー ほたて貝柱入り　本格だし味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1549.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>かつお、ほたて貝柱、ほたてエキス、昆布エキス、煮干エキス、寒天、糖類（オリゴ糖等）、でん粉、植物性油脂、ミネラル類、増粘多糖類、調味料（アミノ酸等）、増粘剤（加工でん粉）、ビタミンＥ、紅麹色素、緑茶エキス</td></tr><tr>	<th>形状Type</th>	<td>ゼリー</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>たんぱく質 10.0%以上､脂質 0.8%以上､粗繊維 0.1%以下､灰分 1.5%以下､水分 87.0以下､約30kcal/袋</td></tr><tr>	<th>内容量Content</th>	<td>50g</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133619649</td></tr><tr>	<th>背番号CODE Number</th>	<td>IC-236</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,20000,Mèo > Thức ăn ướt cho Mèo,,,http://bizweb.dktcdn.net/100/092/797/products/ic-236.jpg,,,,,,,,Mua ngay!,0
,simple,,Nekko Gold Chicken mixed Vegetable in jelly 85g,1,0,visible,"												<ul>	<li>Pate lon cho mèo thượng hạng từ Gà trộn rau củ cho mèo mọi lứa tuổi</li>	<li>Dạng thạch đông (Jelly)</li>	<li>Tốt cho sức khỏe & hệ tiêu hóa</li>	<li>Sản phẩm của Thái Lan, đạt tiêu chuẩn Nhật Bản</li>