ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Pet Carier Luxury Curvations,1,0,visible,"												<p>Túi vận chuyển thú cưng</p></br><p>Kích thước: 45 x 34cm</p></br>											","<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/2896448766-495303331.jpg?v=1471593637029"" /></p></br><p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/tb1mdswmpxxxxbtxvxxxxxxxxxx-0-item-pic-jpg-600x600.jpg?v=1471593649024"" /></p></br><p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/2894872229-495303331.jpg?v=1471594215832"" /></p></br><p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/2896454881-495303331.jpg?v=1471594228138"" /></p></br><p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/2897724197-495303331.jpg?v=1471594238925"" /></p></br><p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/3267451357-495303331.jpg?v=1471594256821"" /></p></br><p style=""text-align: center;""> </p></br>",,,taxable,,1,,0,0,,,,,1,,,1050000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/tb1mdswmpxxxxbtxvxxxxxxxxxx-0-item-pic-jpg-600x600.jpg,,,,,,,,Mua ngay!,0
,simple,,Túi phi hành gia PU in họa tiết,1,0,visible,"												<p>Kích thước: 32 * 18 * cao 37(cm)</p></br>											","<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""608"" original-width=""608"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb255ulbe4wmkjjsspmxxcznpxa-2202850117.jpg?v=1516348693804"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""608"" original-width=""608"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2nwfybrusmejjsszexxckgpxa-2202850117.jpg?v=1516348704643"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""608"" original-width=""608"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2-lnwbmmpmejjy1xdxxasrxxa-2202850117.jpg?v=1516348713602"" /></p></br><p style=""text-align: center;""> </p></br>",,,taxable,,1,,0,0,,,,,1,,,650000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/tb2nwfybrusmejjsszexxckgpxa-2202850117.jpg,,,,,,,,Mua ngay!,0
,simple,,Túi phi hành gia da vuông cửa trước & trên,1,0,visible,"												<p>Túi vận chuyển thú cưng phi hành gia: chó, mèo</p></br><p>Chất liệu bọc ngoài bằng da dễ dàng vệ sinh, các cửa thoáng khí</p></br><p>Thiết kế vuông cho không gian bên trong rộng rãi hơn, tích hợp thêm cửa ở cầu tròn</p></br><p>Kích thước: 34 x 30 x cao 46 (cm)</p></br>											","<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""600"" original-width=""600"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2tttqtmfkpufjsspnxxb4qfxa-3316190863-jpg-600x600.jpg?v=1502529269116"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""600"" original-width=""600"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/ec2eb1ff-949d-473c-a499-bfce54aacc3c.jpg?v=1502529309258"" /></p></br><p style=""text-align: center;""> </p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""613"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb25fbwxypnpufjszfixxxh2vxa-3316190863.jpg?v=1502529414356"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""844"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2zy-oxc0mpufjszpixxbssvxa-3316190863.jpg?v=1502529470558"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""800"" original-width=""800"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/leathe-pu.jpg?v=1502529504226"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""663"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2s1hsthxlpufjy1zbxxb-qpxa-3316190863.jpg?v=1502529547889"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""653"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2inoctmjlpufjsspjxxct-pxa-3316190863.jpg?v=1502529584370"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""656"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2ye2axylnpufjszfgxxbi7fxa-3316190863.jpg?v=1502529617263"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""663"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2xen7tsfjpufjsspbxxxagvxa-3316190863.jpg?v=1502529644003"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""658"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2drn4dzprfkjjszfoxxbkevxa-3316190863.jpg?v=1502529678714"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""1076"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2p26gxrlmpufjszflxxbdqxxa-3316190863.jpg?v=1502529734743"" /></p></br><p style=""text-align: center;""><img data-thumb=""original"" original-height=""600"" original-width=""600"" src=""//bizweb.dktcdn.net/100/092/797/files/tb1jg88rvxxxxbtxvxxxxxxxxxx-0-item-pic-jpg-600x600.jpg?v=1502529358307"" /></p></br><p style=""text-align: center;""><img data-thumb=""grande"" original-height=""664"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2-8dpcru4h1jjszflxxafmpxa-3316190863.jpg?v=1502529793738"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,500000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/tb2tttqtmfkpufjsspnxxb4qfxa-3316190863-jpg-600x600.jpg,,,,,,,,Mua ngay!,0
,simple,,Túi phi hành gia Minion,1,0,visible,"												<p>Túi vận chuyển thú cưng phi hành gia: chó, mèo</p></br><p>Chất liệu bọc ngoài bằng nhựa dễ dàng vệ sinh, các cửa thoáng khí</p></br><p>Thiết kế vuông cho không gian bên trong rộng rãi hơn, 2 cửa tích hợp (cầu tròn, lưới phẳng) dễ dàng thay đổi</p></br><p>Kích thước: 32 x 29 x cao 42 (cm)</p></br>											",,,,taxable,,1,,0,0,,,,,1,,,500000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/tb1xgeyopxxxxchxfxxxxxxxxxx-0-item-pic-jpg-600x600.jpg,,,,,,,,Mua ngay!,0
,simple,,Túi phi hành gia Doraemon,1,0,visible,"												<p>Túi vận chuyển thú cưng phi hành gia: chó, mèo</p></br><p>Chất liệu bọc ngoài bằng nhựa dễ dàng vệ sinh, các cửa thoáng khí</p></br><p>Thiết kế vuông cho không gian bên trong rộng rãi hơn, 2 cửa tích hợp (cầu tròn, lưới phẳng) dễ dàng thay đổi</p></br><p>Kích thước: 32 x 29 x cao 42 (cm)</p></br>											","<p style=""text-align: center;""><img data-thumb=""large"" original-height=""426"" original-width=""400"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-20.jpg?v=1502526464628"" /></p></br><p style=""text-align: center;""><img data-thumb=""large"" original-height=""800"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-17.jpg?v=1502526488515"" /></p></br><p style=""text-align: center;""><img data-thumb=""large"" original-height=""800"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-16.jpg?v=1502526517352"" /></p></br><p style=""text-align: center;""><img data-thumb=""large"" original-height=""600"" original-width=""600"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-19.jpg?v=1502526538959"" /></p></br><p style=""text-align: center;""><img data-thumb=""large"" original-height=""580"" original-width=""790"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-27.jpg?v=1502526601564"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,500000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/space-capsule-astronaut-pet-cat-backpack-bubble-window-for-kitty-puppy-chihuahua-small-dog-carrier-crate.jpg,,,,,,,,Mua ngay!,0
,simple,,Túi phi hành gia Beacop Smile,1,0,visible,"												<p>Túi vận chuyển thú cưng phi hành gia: chó, mèo</p></br><p>Chất liệu bọc ngoài bằng nhựa dễ dàng vệ sinh, các cửa thoáng khí</p></br><p>Thiết kế không gian bên trong rộng rãi, 2 cửa tích hợp (cầu tròn, lưới phẳng) dễ dàng thay đổi</p></br><p>Kích thước: 32 x 29 x cao 42 (cm)</p></br>											","<p style=""text-align: center;""><img data-thumb=""large"" original-height=""457"" original-width=""457"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-6.png?v=1502526257050"" /></p></br><p style=""text-align: center;""><img data-thumb=""large"" original-height=""600"" original-width=""600"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-8.jpg?v=1502526270512"" /></p></br><p style=""text-align: center;""><img data-thumb=""large"" original-height=""825"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/large/100/092/797/files/in-hinh-4.png?v=1502526307376"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,500000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/in-hinh-6.png,,,,,,,,Mua ngay!,0
,simple,,Túi vận chuyển phi hành gia London trắng | Astronaut pet bag white London,1,0,visible,"												<p>Túi vận chuyển thú cưng phi hành gia: chó, mèo</p></br><p>Chất liệu bọc ngoài bằng nhựa dễ dàng vệ sinh, các cửa thoáng khí</p></br><p>Thiết kế vuông cho không gian bên trong rộng rãi hơn, 2 cửa tích hợp (cầu tròn, lưới phẳng) dễ dàng thay đổi</p></br><p>Kích thước: 32 x 29 x cao 42 (cm)</p></br>											","<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/3441724150-608833753.jpg?v=1475143082417"" /></p></br><p style=""text-align: center;""><a href=""https://petthings.vn/tui-long-van-chuyen-pet-carrier?page=1""><img data-thumb=""grande"" original-height=""900"" original-width=""750"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/in-hinh-13.jpg?v=1502525713811"" /></a></p></br><p style=""text-align: center;""> </p></br><p> </p></br>",,,taxable,,1,,0,0,,,,,1,,,500000,Mèo > CHUNG | Túi - Lồng vận chuyển,,,http://bizweb.dktcdn.net/100/092/797/products/4310673710-441132846-400x400.jpg,,,,,,,,Mua ngay!,0